,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,PK,PKatt,Team
4,2020-11-15,18:00,UEFA Nations League,League A,Sun,Home,W,3,1,ba Bosnia & Herz'na,,,60.0,,Georginio Wijnaldum,4-3-3,François Letexier,Match Report,,17.0,10.0,,0,0,Netherlands
5,2020-11-18,20:45,UEFA Nations League,League A,Wed,Away,W,2,1,pl Poland,,,54.0,,Georginio Wijnaldum,4-3-3,Orel Grinfeeld,Match Report,,19.0,6.0,,1,1,Netherlands
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,1,3,cz Czechia,,,64.0,19045.0,Robert Lewandowski,4-2-3-1,Anastasios Sidiropoulos,Match Report,,11.0,4.0,,0,0,Poland
1,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,1,0,al Albania,,,55.0,56227.0,Robert Lewandowski,4-4-2,Slavko Vinčič,Match Report,,11.0,5.0,,0,0,Poland
2,2023-06-20,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,2,3,md Moldova,,,73.0,9442.0,Robert Lewandowski,5-3-2,Filip Glova,Match Report,,20.0,5.0,,0,0,Poland
3,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2,0,fo Faroe Islands,,,72.0,54129.0,Robert Lewandowski,4-4-2,David Smajc,Match Report,,19.0,7.0,,1,1,Poland
4,2023-09-10,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,0,2,al Albania,,,61.0,21900.0,Robert Lewandowski,4-4-1-1,José Sánchez,Match Report,,12.0,2.0,,0,0,Poland
5,2023-10-12,19:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,2,0,fo Faroe Islands,,,66.0,3220.0,Piotr Zieliński,3-4-3,Allard Lindhout,Match Report,,13.0,4.0,,0,0,Poland
6,2023-10-15,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,D,1,1,md Moldova,,,72.0,51672.0,Piotr Zieliński,3-5-2,Artur Soares Dias,Match Report,,21.0,7.0,,0,0,Poland
7,2023-11-17,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,D,1,1,cz Czechia,,,61.0,56310.0,Robert Lewandowski,3-5-2,Daniele Orsato,Match Report,,18.0,5.0,,0,0,Poland
8,2024-03-21,20:45,UEFA Euro Qualifying,Semi-finals,Thu,Home,W,5,1,ee Estonia,,,85.0,,Robert Lewandowski,3-5-2,Slavko Vinčič,Match Report,,25.0,10.0,,0,0,Poland
9,2024-03-26,19:45,UEFA Euro Qualifying,Finals,Tue,Away,D,0 (5),0 (4),wls Wales,,,58.0,,Robert Lewandowski,3-5-2,Daniele Orsato,Match Report,Poland won on penalty kicks following extra time,11.0,0.0,,0,0,Poland
12,2024-06-16,15:00,UEFA Euro,Group stage,Sun,Home,L,1,2,nl Netherlands,1.3,1.4,34.0,48117.0,Piotr Zieliński,3-5-2,Artur Soares Dias,Match Report,,12.0,7.0,19.0,0,0,Poland
13,2024-06-21,18:00,UEFA Euro,Group stage,Fri,Home,L,1,3,at Austria,1.6,2.1,48.0,69455.0,Piotr Zieliński,3-5-2,Halil Umut Meler,Match Report,,15.0,3.0,18.4,0,0,Poland
14,2024-06-25,18:00,UEFA Euro,Group stage,Tue,Away,D,1,1,fr France,1.2,2.3,42.0,59728.0,Robert Lewandowski,5-3-2,Marco Guida,Match Report,,9.0,2.0,24.0,1,1,Poland
0,2022-06-01,18:00,UEFA Nations League,League A,Wed,Home,W,2,1,wls Wales,,,55.0,35214.0,Robert Lewandowski,4-3-1-2,Rade Obrenović,Match Report,,15.0,3.0,,0,0,Poland
1,2022-06-08,20:45,UEFA Nations League,League A,Wed,Away,L,1,6,be Belgium,,,34.0,27409.0,Robert Lewandowski,4-2-3-1,Ivan Kružliak,Match Report,,6.0,2.0,,0,0,Poland
2,2022-06-11,20:45,UEFA Nations League,League A,Sat,Away,D,2,2,nl Netherlands,,,32.0,39382.0,Grzegorz Krychowiak,4-4-2,Halil Umut Meler,Match Report,,5.0,3.0,,0,0,Poland
3,2022-06-14,20:45,UEFA Nations League,League A,Tue,Home,L,0,1,be Belgium,,,31.0,58803.0,Robert Lewandowski,4-4-2,Irfan Peljto,Match Report,,12.0,2.0,,0,0,Poland
4,2022-09-22,20:45,UEFA Nations League,League A,Thu,Home,L,0,2,nl Netherlands,,,42.0,56673.0,Robert Lewandowski,3-4-3,Alejandro Hernández,Match Report,,6.0,2.0,,0,0,Poland
5,2022-09-25,19:45,UEFA Nations League,League A,Sun,Away,W,1,0,wls Wales,,,48.0,31520.0,Robert Lewandowski,3-4-3,Andris Treimanis,Match Report,,6.0,3.0,,0,0,Poland
0,2021-03-25,20:45,WCQ,First round,Thu,Away,D,3.0,3.0,hu Hungary,,,64.0,,Robert Lewandowski,4-4-2,Felix Brych,Match Report,,10.0,3.0,,0,0,Poland
1,2021-03-28,20:45,WCQ,First round,Sun,Home,W,3.0,0.0,ad Andorra,,,85.0,,Robert Lewandowski,4-4-2◆,Erik Lambrechts,Match Report,,26.0,6.0,,0,0,Poland
2,2021-03-31,19:45,WCQ,First round,Wed,Away,L,1.0,2.0,eng England,,,37.0,,Kamil Glik,3-4-3,Björn Kuipers,Match Report,,4.0,1.0,,0,0,Poland
3,2021-09-02,20:45,WCQ,First round,Thu,Home,W,4.0,1.0,al Albania,,,49.0,38254.0,Robert Lewandowski,4-4-2,Maurizio Mariani,Match Report,,6.0,4.0,,0,0,Poland
4,2021-09-05,20:45,WCQ,First round,Sun,Away,W,7.0,1.0,sm San Marino,,,76.0,500.0,Robert Lewandowski,4-4-2,Mattias Gestranius,Match Report,,24.0,11.0,,0,0,Poland
5,2021-09-08,20:45,WCQ,First round,Wed,Home,D,1.0,1.0,eng England,,,37.0,56212.0,Robert Lewandowski,4-4-2,Daniel Siebert,Match Report,,11.0,4.0,,0,0,Poland
6,2021-10-09,20:45,WCQ,First round,Sat,Home,W,5.0,0.0,sm San Marino,,,83.0,56128.0,Robert Lewandowski,4-4-2,Fran Jović,Match Report,,31.0,12.0,,0,0,Poland
7,2021-10-12,20:45,WCQ,First round,Tue,Away,W,1.0,0.0,al Albania,,,60.0,21000.0,Robert Lewandowski,4-4-2,Clément Turpin,Match Report,,5.0,2.0,,0,0,Poland
8,2021-11-12,20:45,WCQ,First round,Fri,Away,W,4.0,1.0,ad Andorra,,,79.0,1049.0,Robert Lewandowski,3-4-1-2,John Beaton,Match Report,,18.0,8.0,,0,0,Poland
9,2021-11-15,20:45,WCQ,First round,Mon,Home,L,1.0,2.0,hu Hungary,,,63.0,,Wojciech Szczęsny,4-4-2,Tiago Martins,Match Report,,15.0,6.0,,0,0,Poland
10,2022-03-24,20:00,WCQ,Semi-finals,Thu,Away,,,,ru Russia,,,,,,,,Match Report,Match Cancelled,,,,1,1,Poland
12,2022-03-29,20:45,WCQ,Finals,Tue,Home,W,2.0,0.0,se Sweden,,,39.0,54078.0,Robert Lewandowski,3-4-3,Daniele Orsato,Match Report,,10.0,8.0,,1,1,Poland
14,2022-11-22,19:00,World Cup,Group stage,Tue,Neutral,D,0.0,0.0,mx Mexico,0.9,0.7,40.0,39369.0,Robert Lewandowski,4-1-4-1,Chris Beath,Match Report,,5.0,1.0,16.9,0,1,Poland
15,2022-11-26,16:00,World Cup,Group stage,Sat,Neutral,W,2.0,0.0,sa Saudi Arabia,1.6,1.7,37.0,44259.0,Robert Lewandowski,4-4-2,Wilton Sampaio,Match Report,,9.0,3.0,11.8,0,0,Poland
16,2022-11-30,22:00,World Cup,Group stage,Wed,Neutral,L,0.0,2.0,ar Argentina,0.3,3.5,27.0,44089.0,Robert Lewandowski,4-4-2,Danny Makkelie,Match Report,,4.0,0.0,17.0,0,0,Poland
17,2022-12-04,18:00,World Cup,Round of 16,Sun,Neutral,L,1.0,3.0,fr France,1.7,1.4,45.0,40989.0,Robert Lewandowski,4-1-4-1,Jesús Valenzuela,Match Report,,11.0,1.0,17.3,1,1,Poland
0,2019-03-21,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,1,0,at Austria,,,42.0,40400.0,Robert Lewandowski,4-4-2,Anastasios Sidiropoulos,Match Report,,11.0,5.0,,0,0,Poland
1,2019-03-24,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,2,0,lv Latvia,,,72.0,51112.0,Robert Lewandowski,4-4-2,Aghayev Aliyev,Match Report,,23.0,8.0,,0,0,Poland
2,2019-06-07,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,1,0,mk N. Macedonia,,,52.0,22000.0,Robert Lewandowski,4-2-3-1,Gianluca Rocchi,Match Report,,7.0,2.0,,0,0,Poland
3,2019-06-10,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,4,0,il Israel,,,48.0,57229.0,Robert Lewandowski,4-4-2,Tobias Stieler,Match Report,,14.0,4.0,,1,1,Poland
4,2019-09-06,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,0,2,si Slovenia,,,65.0,15231.0,Robert Lewandowski,4-4-2,Sergey Karasev,Match Report,,7.0,1.0,,0,0,Poland
5,2019-09-09,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,0,0,at Austria,,,35.0,56788.0,Robert Lewandowski,4-4-2,Viktor Kassai,Match Report,,7.0,2.0,,0,0,Poland
6,2019-10-10,21:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,3,0,lv Latvia,,,65.0,7107.0,Robert Lewandowski,4-2-3-1,Halis Özkahya,Match Report,,14.0,7.0,,0,0,Poland
7,2019-10-13,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,2,0,mk N. Macedonia,,,64.0,52894.0,Robert Lewandowski,4-2-3-1,Antonio Matéu Lahoz,Match Report,,20.0,4.0,,0,0,Poland
8,2019-11-16,21:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2,1,il Israel,,,48.0,16700.0,Kamil Glik,4-2-3-1,Mattias Gestranius,Match Report,,20.0,11.0,,0,0,Poland
9,2019-11-19,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3,2,si Slovenia,,,59.0,53946.0,Robert Lewandowski,4-2-3-1,Daniel Siebert,Match Report,,20.0,7.0,,0,0,Poland
12,2021-06-14,17:00,UEFA Euro,Group stage,Mon,Neutral,L,1,2,sk Slovakia,1.4,0.4,58.0,12862.0,Robert Lewandowski,3-1-4-2,Ovidiu Hațegan,Match Report,,17.0,3.0,19.5,0,0,Poland
13,2021-06-19,21:00,UEFA Euro,Group stage,Sat,Neutral,D,1,1,es Spain,1.3,2.9,24.0,11742.0,Robert Lewandowski,3-5-2,Daniele Orsato,Match Report,,5.0,2.0,15.2,0,0,Poland
14,2021-06-23,17:00,UEFA Euro,Group stage,Wed,Neutral,L,2,3,se Sweden,1.9,1.1,66.0,14252.0,Robert Lewandowski,3-4-1-2,Michael Oliver,Match Report,,18.0,6.0,19.3,0,0,Poland
0,2023-03-25,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2.0,0.0,ad Andorra,,,71.0,2927.0,Nicolae Stanciu,4-1-4-1,Dario Bel,Match Report,,12.0,4.0,,0,0,Romania
1,2023-03-28,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,1.0,by Belarus,,,52.0,27837.0,Nicolae Stanciu,4-3-3,Allard Lindhout,Match Report,,20.0,3.0,,0,0,Romania
2,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,D,0.0,0.0,xk Kosovo,,,40.0,11000.0,Nicolae Stanciu,4-3-3,Danny Makkelie,Match Report,,16.0,3.0,,0,0,Romania
3,2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,2.0,2.0,ch Switzerland,,,28.0,14400.0,Nicolae Stanciu,3-4-3,Daniele Orsato,Match Report,,6.0,3.0,,0,0,Romania
4,2023-09-09,21:45,UEFA Euro Qualifying,Group stage,Sat,Home,D,1.0,1.0,il Israel,,,38.0,49193.0,Nicolae Stanciu,4-2-3-1,Slavko Vinčič,Match Report,,8.0,3.0,,0,0,Romania
5,2023-09-12,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,xk Kosovo,,,72.0,29982.0,Nicolae Stanciu,4-1-4-1,Willy Delajod,Match Report,,21.0,8.0,,0,1,Romania
6,2023-10-12,21:45,UEFA Euro Qualifying,Group stage,Thu,Away,D,0.0,0.0,by Belarus,,,68.0,,Nicolae Stanciu,4-1-4-1,Espen Eskås,Match Report,,19.0,5.0,,0,0,Romania
7,2023-10-15,21:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,4.0,0.0,ad Andorra,,,79.0,21723.0,Nicolae Stanciu,4-2-3-1,Kristo Tohver,Match Report,,17.0,9.0,,1,1,Romania
8,2023-11-18,21:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2.0,1.0,il Israel,,,35.0,2921.0,Nicolae Stanciu,4-2-3-1,François Letexier,Match Report,,18.0,8.0,,0,0,Romania
9,2023-11-21,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,1.0,0.0,ch Switzerland,,,36.0,50224.0,Nicolae Stanciu,4-1-4-1,Davide Massa,Match Report,,9.0,4.0,,0,0,Romania
14,2024-06-17,15:00,UEFA Euro,Group stage,Mon,Home,W,3.0,0.0,ua Ukraine,1.1,0.7,30.0,61591.0,Nicolae Stanciu,4-1-4-1,Glenn Nyberg,Match Report,,9.0,5.0,21.6,0,0,Romania
15,2024-06-22,21:00,UEFA Euro,Group stage,Sat,Away,L,0.0,2.0,be Belgium,0.9,1.7,45.0,42535.0,Nicolae Stanciu,4-1-4-1,Szymon Marciniak,Match Report,,14.0,4.0,20.4,0,0,Romania
16,2024-06-26,18:00,UEFA Euro,Group stage,Wed,Away,D,1.0,1.0,sk Slovakia,1.2,0.9,42.0,45033.0,Nicolae Stanciu,4-1-4-1,Daniel Siebert,Match Report,,8.0,4.0,23.4,1,1,Romania
0,2022-06-04,20:45,UEFA Nations League,League B,Sat,Away,L,0,2,me Montenegro,,,56.0,3998.0,Vlad Chiricheș,4-3-3,Andreas Ekberg,Match Report,,7.0,1.0,,0,0,Romania
1,2022-06-07,20:45,UEFA Nations League,League B,Tue,Away,L,0,1,ba Bosnia & Herz'na,,,43.0,4500.0,Vlad Chiricheș,4-3-3,Sascha Stegemann,Match Report,,12.0,3.0,,0,0,Romania
2,2022-06-11,21:45,UEFA Nations League,League B,Sat,Home,W,1,0,fi Finland,,,38.0,11503.0,Vlad Chiricheș,4-2-3-1,Harald Lechner,Match Report,,18.0,5.0,,0,1,Romania
3,2022-06-14,21:45,UEFA Nations League,League B,Tue,Home,L,0,3,me Montenegro,,,60.0,11657.0,Vlad Chiricheș,4-3-3,João Pinheiro,Match Report,,7.0,2.0,,0,0,Romania
4,2022-09-23,21:45,UEFA Nations League,League B,Fri,Away,D,1,1,fi Finland,,,52.0,20130.0,Răzvan Marin,4-3-3,Carlos del Cerro,Match Report,,16.0,6.0,,0,0,Romania
5,2022-09-26,21:45,UEFA Nations League,League B,Mon,Home,W,4,1,ba Bosnia & Herz'na,,,47.0,12693.0,Nicolae Stanciu,4-2-3-1,Halil Umut Meler,Match Report,,17.0,7.0,,0,0,Romania
0,2021-03-25,21:45,WCQ,First round,Thu,Home,W,3,2,mk N. Macedonia,,,47.0,,Vlad Chiricheș,4-2-3-1,Fábio Veríssimo,Match Report,,18.0,11.0,,0,0,Romania
1,2021-03-28,21:45,WCQ,First round,Sun,Home,L,0,1,de Germany,,,34.0,,Vlad Chiricheș,4-2-3-1,Clément Turpin,Match Report,,9.0,2.0,,0,0,Romania
2,2021-03-31,20:00,WCQ,First round,Wed,Away,L,2,3,am Armenia,,,66.0,4300.0,Vlad Chiricheș,4-2-3-1,Andris Treimanis,Match Report,,14.0,7.0,,0,0,Romania
3,2021-09-02,18:45,WCQ,First round,Thu,Away,W,2,0,is Iceland,,,45.0,1961.0,Vlad Chiricheș,4-3-3,Aliaksei Kulbakou,Match Report,,19.0,6.0,,0,0,Romania
4,2021-09-05,21:45,WCQ,First round,Sun,Home,W,2,0,li Liechtenstein,,,72.0,9404.0,Nicolae Stanciu,4-3-3,Kateryna Monzul,Match Report,,27.0,7.0,,0,0,Romania
5,2021-09-08,20:45,WCQ,First round,Wed,Away,D,0,0,mk N. Macedonia,,,42.0,5260.0,Vlad Chiricheș,4-3-3,Antonio Matéu Lahoz,Match Report,,7.0,2.0,,0,0,Romania
6,2021-10-08,20:45,WCQ,First round,Fri,Away,L,1,2,de Germany,,,23.0,25000.0,Vlad Chiricheș,5-4-1,Cüneyt Çakιr,Match Report,,9.0,1.0,,0,0,Romania
7,2021-10-11,21:45,WCQ,First round,Mon,Home,W,1,0,am Armenia,,,59.0,13576.0,Vlad Chiricheș,4-3-3,Daniele Orsato,Match Report,,15.0,5.0,,0,0,Romania
8,2021-11-11,21:45,WCQ,First round,Thu,Home,D,0,0,is Iceland,,,63.0,,Vlad Chiricheș,4-3-3,Sergey Karasev,Match Report,,23.0,7.0,,0,0,Romania
9,2021-11-14,18:00,WCQ,First round,Sun,Away,W,2,0,li Liechtenstein,,,72.0,9268.0,Nicolae Stanciu,4-3-3,Matej Jug,Match Report,,38.0,17.0,,0,1,Romania
0,2019-03-23,18:00,UEFA Euro Qualifying,Group stage,Sat,Away,L,1,2,se Sweden,,,50.0,30115.0,Cristian Săpunaru,4-2-3-1,Michael Oliver,Match Report,,14.0,5.0,,0,0,Romania
1,2019-03-26,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,4,1,fo Faroe Islands,,,62.0,10502.0,Ciprian Tătărușanu,4-2-2-2,Halil Umut Meler,Match Report,,18.0,8.0,,0,0,Romania
2,2019-06-07,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,D,2,2,no Norway,,,46.0,17664.0,Cristian Săpunaru,4-2-3-1,Sergey Karasev,Match Report,,15.0,7.0,,0,0,Romania
3,2019-06-10,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,4,0,mt Malta,,,57.0,6471.0,Ciprian Tătărușanu,4-4-2,Dennis Higler,Match Report,,19.0,7.0,,0,0,Romania
4,2019-09-05,21:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,1,2,es Spain,,,26.0,50024.0,Vlad Chiricheș,5-3-2,Deniz Aytekin,Match Report,,10.0,3.0,,0,0,Romania
5,2019-09-08,19:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,1,0,mt Malta,,,63.0,13376.0,Vlad Chiricheș,4-4-2,Duje Strukan,Match Report,,22.0,6.0,,0,0,Romania
6,2019-10-12,17:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,3,0,fo Faroe Islands,,,68.0,2381.0,Vlad Chiricheș,4-4-2,Əliyar Ağayev,Match Report,,28.0,11.0,,0,0,Romania
7,2019-10-15,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,D,1,1,no Norway,,,36.0,29854.0,Ciprian Tătărușanu,4-2-3-1,Bobby Madden,Match Report,,15.0,6.0,,0,1,Romania
8,2019-11-15,21:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,0,2,se Sweden,,,53.0,49678.0,Ciprian Tătărușanu,4-4-2,Daniele Orsato,Match Report,,14.0,3.0,,0,0,Romania
9,2019-11-18,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0,5,es Spain,,,26.0,36198.0,Ciprian Tătărușanu,4-2-3-1,Aliaksei Kulbakou,Match Report,,6.0,2.0,,0,0,Romania
10,2020-10-08,18:45,UEFA Euro Qualifying,Semi-finals,Thu,Away,L,1,2,is Iceland,,,61.0,60.0,Ciprian Tătărușanu,4-3-3,Damir Skomina,Match Report,,7.0,1.0,,1,1,Romania
0,2020-09-04,21:45,UEFA Nations League,League B,Fri,Home,D,1,1,nir Northern Ireland,,,73.0,,Vlad Chiricheș,4-3-1-2,François Letexier,Match Report,,18.0,9.0,,0,0,Romania
1,2020-09-07,20:45,UEFA Nations League,League B,Mon,Away,W,3,2,at Austria,,,37.0,,Vlad Chiricheș,4-3-3,Glenn Nyberg,Match Report,,13.0,4.0,,0,0,Romania
2,2020-10-11,18:00,UEFA Nations League,League B,Sun,Away,L,0,4,no Norway,,,50.0,200.0,Ciprian Tătărușanu,4-3-3,Ivan Kružliak,Match Report,,12.0,3.0,,0,0,Romania
3,2020-10-14,21:45,UEFA Nations League,League B,Wed,Home,L,0,1,at Austria,,,51.0,,Ciprian Tătărușanu,4-3-3,Daniel Stefański,Match Report,,8.0,2.0,,0,0,Romania
4,2020-11-18,19:45,UEFA Nations League,League B,Wed,Away,D,1,1,nir Northern Ireland,,,59.0,1060.0,Ciprian Tătărușanu,3-4-3,Sandro Schärer,Match Report,,7.0,3.0,,0,0,Romania
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,0.0,se Sweden,,,56.0,49296.0,Kevin De Bruyne,4-2-2-2,Orel Grinfeeld,Match Report,,14.0,5.0,,0,0,Belgium
1,2023-06-17,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,D,1.0,1.0,at Austria,,,56.0,39237.0,Romelu Lukaku,3-5-2,Jérôme Brisard,Match Report,,17.0,2.0,,0,0,Belgium
2,2023-06-20,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3.0,0.0,ee Estonia,,,67.0,11772.0,Romelu Lukaku,4-3-3,John Beaton,Match Report,,12.0,5.0,,0,0,Belgium
3,2023-09-09,17:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,1.0,0.0,az Azerbaijan,,,54.0,4500.0,Romelu Lukaku,4-3-3,Nenad Minaković,Match Report,,16.0,6.0,,0,0,Belgium
4,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,5.0,0.0,ee Estonia,,,75.0,24127.0,Romelu Lukaku,4-3-3,Bartosz Frankowski,Match Report,,22.0,11.0,,0,0,Belgium
5,2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,2.0,at Austria,,,42.0,47000.0,Romelu Lukaku,4-3-3,Jesús Gil,Match Report,,8.0,5.0,,0,0,Belgium
6,2023-10-16,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,1.0,1.0,se Sweden,,,66.0,,Romelu Lukaku,4-4-2,Maurizio Mariani,Match Report,Match awarded to,9.0,3.0,,1,1,Belgium
7,2023-11-19,18:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,5.0,0.0,az Azerbaijan,,,75.0,30276.0,Romelu Lukaku,4-2-3-1,Gergő Bogár,Match Report,,22.0,7.0,,0,0,Belgium
12,2024-06-17,18:00,UEFA Euro,Group stage,Mon,Home,L,0.0,1.0,sk Slovakia,1.6,0.6,60.0,45181.0,Kevin De Bruyne,4-2-3-1,Halil Umut Meler,Match Report,,16.0,4.0,16.3,0,0,Belgium
13,2024-06-22,21:00,UEFA Euro,Group stage,Sat,Home,W,2.0,0.0,ro Romania,1.7,0.9,55.0,42535.0,Kevin De Bruyne,4-2-3-1,Szymon Marciniak,Match Report,,20.0,9.0,16.1,0,0,Belgium
14,2024-06-26,18:00,UEFA Euro,Group stage,Wed,Away,D,0.0,0.0,ua Ukraine,0.9,0.8,60.0,54000.0,Kevin De Bruyne,4-2-3-1,Anthony Taylor,Match Report,,12.0,4.0,21.6,0,0,Belgium
0,2022-06-03,20:45,UEFA Nations League,League A,Fri,Home,L,1,4,nl Netherlands,,,50.0,38327.0,Eden Hazard,3-4-3,José Sánchez,Match Report,,13.0,6.0,,0,0,Belgium
1,2022-06-08,20:45,UEFA Nations League,League A,Wed,Home,W,6,1,pl Poland,,,66.0,27409.0,Eden Hazard,3-4-3,Ivan Kružliak,Match Report,,18.0,11.0,,0,0,Belgium
2,2022-06-11,19:45,UEFA Nations League,League A,Sat,Away,D,1,1,wls Wales,,,64.0,27188.0,Kevin De Bruyne,3-4-3,Benoît Bastien,Match Report,,9.0,4.0,,0,0,Belgium
3,2022-06-14,20:45,UEFA Nations League,League A,Tue,Away,W,1,0,pl Poland,,,69.0,58803.0,Eden Hazard,3-4-3,Irfan Peljto,Match Report,,12.0,4.0,,0,0,Belgium
4,2022-09-22,20:45,UEFA Nations League,League A,Thu,Home,W,2,1,wls Wales,,,71.0,28463.0,Eden Hazard,3-4-3,Ali Palabıyık,Match Report,,19.0,4.0,,0,0,Belgium
5,2022-09-25,20:45,UEFA Nations League,League A,Sun,Away,L,0,1,nl Netherlands,,,54.0,52314.0,Eden Hazard,3-4-3,Anthony Taylor,Match Report,,11.0,4.0,,0,0,Belgium
0,2021-03-24,20:45,WCQ,First round,Wed,Home,W,3,1,wls Wales,,,75.0,,Jan Vertonghen,3-4-3,Cüneyt Çakιr,Match Report,,12.0,4.0,,1,1,Belgium
1,2021-03-27,20:45,WCQ,First round,Sat,Away,D,1,1,cz Czechia,,,62.0,,Jan Vertonghen,3-4-3,William Collum,Match Report,,9.0,4.0,,0,0,Belgium
2,2021-03-30,20:45,WCQ,First round,Tue,Home,W,8,0,by Belarus,,,68.0,,Jan Vertonghen,3-4-3,Donatas Rumšas,Match Report,,21.0,15.0,,0,0,Belgium
3,2021-09-02,21:45,WCQ,First round,Thu,Away,W,5,2,ee Estonia,,,73.0,6685.0,Eden Hazard,3-4-3,Guillermo Cuadra,Match Report,,25.0,9.0,,0,0,Belgium
4,2021-09-05,20:45,WCQ,First round,Sun,Home,W,3,0,cz Czechia,,,54.0,21416.0,Eden Hazard,3-4-3,Michael Oliver,Match Report,,16.0,6.0,,0,0,Belgium
5,2021-09-08,21:45,WCQ,First round,Wed,Away,W,1,0,by Belarus,,,75.0,,Toby Alderweireld,3-4-3,Paweł Raczkowski,Match Report,,12.0,5.0,,0,0,Belgium
6,2021-11-13,20:45,WCQ,First round,Sat,Home,W,3,1,ee Estonia,,,81.0,29895.0,Eden Hazard,3-4-3,Halil Umut Meler,Match Report,,20.0,10.0,,0,0,Belgium
7,2021-11-16,19:45,WCQ,First round,Tue,Away,D,1,1,wls Wales,,,76.0,32343.0,Kevin De Bruyne,3-4-3,Artur Dias,Match Report,,16.0,4.0,,0,0,Belgium
11,2022-11-23,22:00,World Cup,Group stage,Wed,Neutral,W,1,0,ca Canada,0.8,2.4,53.0,40432.0,Eden Hazard,3-4-3,Janny Sikazwe,Match Report,,9.0,3.0,17.3,0,0,Belgium
12,2022-11-27,16:00,World Cup,Group stage,Sun,Neutral,L,0,2,ma Morocco,1.0,1.5,67.0,43738.0,Eden Hazard,4-2-3-1,César Arturo Ramos,Match Report,,10.0,3.0,19.0,0,0,Belgium
13,2022-12-01,18:00,World Cup,Group stage,Thu,Neutral,D,0,0,hr Croatia,3.0,0.7,51.0,43984.0,Kevin De Bruyne,4-2-3-1,Anthony Taylor,Match Report,,16.0,3.0,12.4,0,0,Belgium
0,2019-03-21,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3,1,ru Russia,,,61.0,34245.0,Eden Hazard,3-4-3,Ovidiu Hațegan,Match Report,,15.0,6.0,,1,1,Belgium
1,2019-03-24,21:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,2,0,cy Cyprus,,,60.0,8728.0,Eden Hazard,3-4-3,François Letexier,Match Report,,13.0,6.0,,0,0,Belgium
2,2019-06-08,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,3,0,kz Kazakhstan,,,70.0,37155.0,Eden Hazard,3-4-3,Irfan Peljto,Match Report,,27.0,12.0,,0,0,Belgium
3,2019-06-11,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3,0,sct Scotland,,,71.0,32482.0,Eden Hazard,3-4-3,Petr Ardeleánu,Match Report,,25.0,11.0,,0,0,Belgium
